Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
Piwo le¿akowe;Wyt³aczany lub perforowany papier do drukowania;Wsparcie czynnoœciowe;Czêœci okrêtów wojennych;Wyroby rurowe
Pozosta³oœci i odpady browarne lub gorzelniane;Wyt³aczany lub perforowany papier do pisania;Urz¹dzenia do terapii nerkowej;Kad³uby i mechaniczne czêœci zapasowe do okrêtów wojennych;Rurki i osprzêt
Napoje bezalkoholowe;Papier ci¹g³y do drukarek komputerowych;Urz¹dzenia do hemodializy;Silniki i czêœci silników do okrêtów wojennych;Wê¿e, rury pionowe i tuleje
Wody mineralne;Formularze ci¹g³e;Filtry do dializy;Elektroniczne i elektryczne czêœci zapasowe do okrêtów wojennych;Wê¿e
Zmro¿one wody mineralne;Papier gumowany lub przyczepny;Monitory do hemodializy;Samoloty wojskowe, rakiety (pociski rakietowe) i statki kosmiczne;Wê¿e wiertnicze
Gazowane wody mineralne;Papier samoprzylepny;Wielofunkcyjne urz¹dzenia do hemodializy;Samoloty wojskowe;Rury pionowe
Woda zmro¿ona;Segregatory, pude³ka na listy, pude³ka do przechowywania i podobne wyroby;Wyroby do terapii nerkowej;Myœliwce;Wci¹gniki giêtkie
Lód;Rozdzielniki na materia³y piœmienne;P³yny do terapii nerkowej;Myœliwce bombarduj¹ce/samoloty szturmowe;Tuleje
Œnieg;Zadrukowane wyroby papiernicze, z wyj¹tkiem formularzy;Wyroby do dializy nerkowej;Bombowce;Naziemne ruroci¹gi naftowe
Wody mineralne z dodatkiem substancji smakowych;Zadrukowane koperty;Urz¹dzenia do wspomagania serca;Wojskowe samoloty transportowe;Ró¿ny osprzêt do przewodów
Napoje orzeŸwiaj¹ce;Zadrukowane koperty z okienkiem adresowym;Defibrylatory;Samoloty szkoleniowe;Mechanizmy sprzêgaj¹ce
Soki ze œwie¿ych owoców;Inne zadrukowane koperty;Urz¹dzenia do stymulacji pracy serca;Morskie samoloty patrolowe;Ko³nierze
Mleko czekoladowe;Zadrukowane koperty na zdjêcia rentgenowskie;Rozruszniki serca;Lataj¹ce cysterny;Adaptory ko³nierzowe
Tytoñ, wyroby tytoniowe i artyku³y;Papier listowy;Zastawki serca;Samoloty zwiadowcze;Zaciski i ko³nierze naprawcze
Wyroby tytoniowe;Wizytówki;Sztuczne komory serca;Œmig³owce bojowe;£uki, teowniki i osprzêt do przewodów
Cygara;Wizytowniki;Czêœci i akcesoria do rozruszników serca;Œmig³owce do zwalczania okrêtów podwodnych;Kolanka
Cygaretki;Druki okazjonalne;Baterie do rozruszników serca;Œmig³owce pomocnicze;P³yty, arkusze, pasek i folia zwi¹zana z materia³ami budowlanymi
Papierosy;Talony;Urz¹dzenia do chirurgii serca;Wojskowe œmig³owce transportowe;P³yty (budowlane)
Tytoñ;Etykiety;System do rentgena serca;Œmig³owce poszukiwawczo-ratunkowe;Arkusze (budowlane)
Tytoñ przetworzony;Etykiety z kodem kreskowym;Dodatkowe wyroby ortopedyczne;Bezza³ogowe pojazdy powietrzne;Pasek
Dodatki tytoniowe;Zawieszki baga¿owe;Implanty ortopedyczne;Bezza³ogowe bojowe statki powietrzne;Folia
Bibu³ka papierosowa i bibu³a filtracyjna;Nalepki przeciwkradzie¿owe;Protezy ortopedyczne;Rakiety (pociski rakietowe);Panele
Bibu³ka papierosowa;Talony na posi³ki;Urz¹dzenia do osteosyntezy;Rakiety strategiczne;Taœma
Bibu³a filtracyjna;Bibu³y;Sztuczne czêœci cia³a;Strategiczne rakiety antybalistyczne;Ró¿ne materia³y budowlane
Maszyny rolnicze;Rozk³ady;Implanty chirurgiczne;Interkontynentalne rakiety balistyczne;Ró¿ne drewniane materia³y budowlane
Maszyny u¿ywane w rolnictwie i leœnictwie do przygotowywania lub uprawy gleby;Terminarze œcienne;Protezy naczyniowe;Rakiety balistyczne wystrzeliwane z okrêtów podwodnych;Sklejka
P³ugi lub brony talerzowe;Kalendarze;Sztuczne czêœci serca;Rakiety balistyczne œredniego zasiêgu;Drewno laminatowe
Brony, spulchniarki, kultywatory, brony chwastowniki lub glebogryzarki;Stojaki na terminarze;Protezy piersi;Rakiety taktyczne;P³yta wiórowa
Siewniki, sadzarki lub maszyny lub przesadzania;Urz¹dzenia komputerowe;Wewnêtrzne protezy piersi;Rakiety powietrze-powietrze;P³yta pilœniowa
Maszyny do rozrzucania obornika;Maszyny do przetwarzania danych (sprzêt);Zewnêtrzne protezy piersi;Rakiety powietrze-ziemia;Drewno zagêszczone
Rozsiewacze nawozów;Komputery wysokowydajne;Endoprotezy naczyñ wieñcowych;Rakiety do zwalczania okrêtów nawodnych;Panele parkietowe
Walce do wyrównywania trawników lub boisk sportowych;Superkomputery;Sztuczne ga³ki oczne;Rakiety do zwalczania okrêtów podwodnych;Inne ró¿ne materia³y budowlane
Ró¿ny sprzêt ogrodniczy;Osprzêt do du¿ych systemów komputerowych;Aparaty s³uchowe;Taktyczne rakiety antybalistyczne;Pianka z PCV
Maszyny ¿niwne;Platformy komputerowe;Czêœci i akcesoria do aparatów s³uchowych;Przeciwpancerne pociski kierowane;GwoŸdzie
Kosiarki;Konfiguracje komputerowe;Implanty œlimakowe;Rakiety ziemia-powietrze;Wyroby konstrukcyjne
Kosiarki do trawników;Centralne jednostki przetwarzaj¹ce (CPU) lub procesory;Implanty otolaryngologiczne;Pociski samosteruj¹ce;Konstrukcje i czêœci konstrukcji
Kosiarki do pielêgnacji trawników, zieleni parkowej lub terenów sportowych;Osprzêt do minikomputerów;Sztuczna krtañ;Pociski samosteruj¹ce wystrzeliwane z powietrza/ziemi/wody;Budynki z gotowych elementów
Maszyny do przygotowania siana;Mikrokomputerowe jednostki przetwarzaj¹ce;Pozaustrojowe uk³ady kr¹¿eniowe;Wojskowe pojazdy kosmiczne;Budynki modu³owe i przenoœne
Prasy do belowania s³omy lub paszy;Komputery osobiste;Urz¹dzenia do natleniania;Satelity wojskowe;Baraki
Prasy zbieraj¹ce;Komputery przenoœne;Urz¹dzenia do ogrzewania krwi i p³ynów;Satelity komunikacyjne;Przedzia³y
Maszyny ¿niwne i m³ockarki;Komputer tablet;Ró¿ne urz¹dzenia i produkty medyczne;Satelity obserwacyjne;Szpital polowy
Maszyny natryskuj¹ce u¿ywane w rolnictwie lub ogrodnictwie;Komputer biurkowy;Urz¹dzenia sterylizuj¹ce, dezynfekcyjne i higieniczne;Satelity nawigacyjne;Kuchnia polowa
Przyczepy lub naczepy samoza³adowcze i wy³adowcze do celów rolniczych;Centralne jednostki przetwarzania danych do komputerów osobistych;Urz¹dzenia sterylizuj¹ce;Czêœci wojskowego sprzêtu kosmicznego;Szklarnie
Samoza³adowcze przyczepy do celów rolniczych;Komputery kieszonkowe;Autoklawy;Konstrukcje i mechaniczne czêœci zapasowe do wojskowego sprzêtu kosmicznego;Wyroby konstrukcyjne i czêœci, z wyj¹tkiem budynków z gotowych elementów
Samowy³adowcze przyczepy do celów rolniczych;Stacje robocze;Meble medyczne;Silniki i czêœci silników do wojskowego sprzêtu kosmicznego;Mosty
Samoza³adowcze naczepy do celów rolniczych;Urz¹dzenia do komputerów zminiaturyzowanych;£ó¿ka do u¿ytku medycznego;Elektroniczne i elektryczne czêœci zapasowe do wojskowego sprzêtu kosmicznego;Sekcje mostów
Samowy³adowcze naczepy do celów rolniczych;Centralne jednostki przetwarzania danych do komputerów zminiaturyzowanych;£ó¿ka ortopedyczne;Wojskowe systemy elektroniczne;Konstrukcje mostowe
Specjalne maszyny u¿ywane w rolnictwie lub leœnictwie;Czytniki magnetyczne lub optyczne;£ó¿ka szpitalne;Systemy dowodzenia, kontroli, ³¹cznoœci i systemy komputerowe;Wie¿e, maszty kratowe, pó³maszty i s³upy stalowe
Maszyny do czyszczenia, sortowania lub klasyfikowania jaj, owoców innych produktów;Czytniki optyczne;£ó¿ka z silnikiem;Systemy dowodzenia, kontroli, ³¹cznoœci;Pó³maszty
Maszyny do czyszczenia produktów;Skanery komputerowe;Kozetki psychiatryczne;Taktyczne systemy dowodzenia, kontroli, ³¹cznoœci;Maszty wiertnicze
Maszyny do czyszczenia jaj;Urz¹dzenia optyczne do identyfikacji;£ó¿ka terapeutyczne;Wywiad, nadzór, zbieranie danych o celach i zwiad;Sta³e maszty wiertnicze
Maszyny do czyszczenia owoców;Czytniki kodu kreskowego;Nosze;System rozpoznania elektronicznego;S³upy stalowe, s³upy i pale
Maszyny do sortowania lub klasyfikowania produktów;Czytniki kart magnetycznych;Sto³y medyczne;Radar;S³upy stalowe
Maszyny do sortowania lub klasyfikowania jaj;Czytniki kart perforowanych;Sto³y do badania;Radar obrony powietrznej;Przesy³owe maszty energetyczne
Maszyny do sortowania lub klasyfikowania owoców;Cyfrowy sprzêt kartograficzny;Sto³y operacyjne;Systemy walki elektronicznej i œrodki przeciwdzia³ania elektronicznego;Wsporniki s³upów stalowych
Maszyny do czyszczenia, sortowania lub klasyfikowania nasion, ziarna lub warzyw suszonych;Cyfrowe mapy katastralne;Meble medyczne, z wyj¹tkiem ³ó¿ek i sto³ów;Symulatory walki;S³upy do podtrzymywania linii napowietrznych
Dojarki;Sprzêt zwi¹zany z komputerami;Wyci¹gi lub podwieszenia do ³ó¿ek medycznych;Sprzêt osobisty i pomocniczy;S³upy
Maszyny do przygotowania preparatów ¿ywienia zwierz¹t;Ekrany i konsole komputerowe;Uchwyty do butelek na mocz;Sprzêt osobisty;S³upy energetyczne
Maszyny pszczelarskie;Terminale komputerowe;Podk³adki do transfuzji;Mundury stra¿ackie;Szczapy
Maszyny do hodowli drobiu;Konsole;Meble stanowi¹ce wyposa¿enie sal operacyjnych, z wyj¹tkiem sto³ów;Mundury policyjne;Wie¿e
Inkubatory i wylêgarki drobiu;Monitory ekranowe;Szafa do hodowli medycznych;Mundury wojskowe;Wie¿e wodne
Ci¹gniki;Wyœwietlacze p³askie;Stanowiska stomatologiczne;Mundury bojowe;DŸwigary
Ci¹gniki rolnicze peda³owe;Monitory dotykowe;Fotele stomatologiczne;Kamizelki maskuj¹ce;Maszty
Ci¹gniki u¿ywane;Sprzêt peryferyjny;Probówki;Kombinezony bojowe;Maszty radiowe i telewizyjne
Ci¹gniki trakcyjne;Drukarki i plotery;Sprzêt do podnoszenia dla s³u¿by zdrowia;Bojowe nakrycia g³owy;Maszty radiowe
Czêœci maszyn u¿ywanych w rolnictwie i leœnictwie;Drukarki laserowe;Pojazdy inwalidzkie, wózki inwalidzkie i podobne urz¹dzenia;He³my wojskowe;Maszty telewizyjne
